Date,Build,Overall Test Rate,Superlaser_Concentration_Static_Check,Hypermatter_Reactor_Core_Startup_Test,Sublight_Ion_Engines_Sanity_Check,Superlaser_Focal_Lenses_Coordination_Test,Class_3_Hyperdrive_Coordinate_Input_Test,Deflector_Shield_Generator_Stress_Test,Turbolaser_Ion_Cannon_Power_On_Test,Tractor_Beam_Projectors_Response_Test,Exhaust Ports_Control_Test,Kyber_Crystal_Sample_Response_Test
5/11/2025,death_star_iter_118.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
1/11/2025,death_star_iter_118.004,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
31/10/2025,death_star_iter_118.003,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
31/10/2025,death_star_iter_118.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
28/10/2025,death_star_iter_118.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
27/10/2025,death_star_iter_117.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a,n/a
24/10/2025,death_star_iter_117.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a,n/a
23/10/2025,death_star_iter_116.006,98%,100%,100%,100%,100%,100%,100%,100%,76%,100%,n/a
22/10/2025,death_star_iter_116.005,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,n/a
21/10/2025,death_star_iter_116.004,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
18/10/2025,death_star_iter_116.003,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
15/10/2025,death_star_iter_116.002,98%,100%,100%,100%,100%,100%,100%,100%,76%,n/a,n/a
14/10/2025,death_star_iter_115.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
13/10/2025,death_star_iter_115.004,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
10/10/2025,death_star_iter_115.003,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,n/a
9/10/2025,death_star_iter_115.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
8/10/2025,death_star_iter_115.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
7/10/2025,death_star_iter_114.008,99%,100%,100%,100%,100%,100%,100%,100%,93%,n/a,n/a
3/10/2025,death_star_iter_114.007,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
2/10/2025,death_star_iter_114.006,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
1/10/2025,death_star_iter_114.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
30/09/2025,death_star_iter_114.005,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a,n/a
27/09/2025,death_star_iter_114.004,98%,100%,100%,100%,100%,100%,100%,100%,76%,100%,n/a
26/09/2025,death_star_iter_114.003,99%,100%,100%,100%,100%,100%,100%,100%,97%,100%,n/a
23/09/2025,death_star_iter_114.002,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
19/09/2025,death_star_iter_114.001,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
18/09/2025,death_star_iter_113.010,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
17/09/2025,death_star_iter_113.009,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
16/09/2025,death_star_iter_113.008,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
13/09/2025,death_star_iter_113.007,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,n/a
10/9/2025,death_star_iter_113.007,99%,100%,100%,100%,100%,100%,100%,100%,95%,100%,n/a
9/9/2025,death_star_iter_113.006,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
6/9/2025,death_star_iter_113.005,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
5/9/2025,death_star_iter_113.004,99%,100%,100%,100%,100%,n/a,100%,100%,97%,n/a,n/a
4/9/2025,death_star_iter_113.003,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
3/9/2025,death_star_iter_113.002,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
2/9/2025,death_star_iter_113.001,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
30/08/2025,death_star_iter_112.007,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
29/08/2025,death_star_iter_112.006,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
28/08/2025,death_star_iter_112.005,97%,100%,100%,100%,100%,n/a,100%,100%,65%,n/a,n/a
25/08/2025,death_star_iter_112.004,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
21/08/2025,death_star_iter_112.003,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
9/8/2025,death_star_iter_112.002,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
7/8/2025,death_star_iter_112.001,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
6/8/2025,death_star_iter_111.008,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
5/8/2025,death_star_iter_111.007,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
2/8/2025,death_star_iter_111.006,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
26/07/2025,death_star_iter_111.005,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
25/07/2025,death_star_iter_111.004,100%,100%,100%,100%,100%,n/a,100%,100%,100%,n/a,n/a
23/07/2025,death_star_iter_111.003,99%,100%,100%,100%,100%,n/a,100%,100%,95%,n/a,n/a
